Time-Year,Time-Date,Ticker,AAPL,CDW,CTRX,FB,GOOG,GOOGL,INTC,MSFT,MU,QCOM,STX,TECD,TXN,WDC
2012,2012-04-30,,92.15,,115.68,,,95.66,101.18,101.58,86.82,95.01,120.60,100.69,98.90,97.67
2012,2012-05-01,,91.86,,116.50,,,95.59,103.14,101.54,88.01,94.71,125.04,100.45,98.64,100.73
2012,2012-05-02,,92.46,,122.40,,,96.03,103.92,100.89,89.86,95.61,126.28,100.69,99.37,101.97
2012,2012-05-03,,91.81,,116.70,,,96.63,102.47,100.75,85.24,94.59,122.48,99.01,97.21,98.74
2012,2012-05-04,,89.20,,116.86,,,94.41,100.12,98.28,86.30,92.14,119.32,98.26,94.76,97.82
2012,2012-05-07,,89.86,,113.97,,,96.08,99.61,97.26,85.64,92.15,121.58,97.29,94.79,98.50
2012,2012-05-08,,89.65,,115.89,,,96.91,98.20,96.78,82.21,93.27,119.23,96.89,94.86,98.48
2012,2012-05-09,,89.82,,115.91,,,96.33,97.57,97.60,83.79,92.30,119.83,96.46,94.76,100.52
2012,2012-05-10,,90.03,,115.71,,,97.05,97.72,97.53,82.87,92.99,123.38,95.69,95.32,102.52
2012,2012-05-11,,89.43,,119.03,,,95.72,99.14,98.87,83.79,92.08,122.09,95.25,95.22,101.39
2012,2012-05-14,,88.09,,116.78,,,95.52,96.94,97.32,81.82,91.48,122.99,96.99,94.86,100.47
2012,2012-05-15,,87.29,,116.37,,,96.64,96.43,96.47,79.31,91.45,122.74,96.16,93.83,100.55
2012,2012-05-16,,86.18,,116.86,,,99.46,95.10,95.47,81.03,87.98,118.55,91.84,92.80,97.19
2012,2012-05-17,,83.66,,116.02,,,98.53,93.96,94.92,78.39,85.08,112.39,89.46,90.91,93.28
2012,2012-05-18,,83.69,,113.51,100.00,,94.95,93.53,93.48,74.18,83.32,105.51,88.84,88.98,87.20
2012,2012-05-21,,88.57,,115.22,89.01,,97.12,93.84,94.99,76.15,85.17,109.19,89.63,91.30,90.48
2012,2012-05-22,,87.89,,115.12,81.09,,95.01,93.41,95.03,75.23,86.22,103.33,90.47,90.94,86.83
2012,2012-05-23,,90.04,,115.50,83.70,,96.39,91.29,92.97,75.76,86.54,101.07,89.84,90.24,85.81
2012,2012-05-24,,89.21,,114.74,86.40,,95.47,92.04,92.83,75.63,85.06,103.46,90.10,89.48,85.13
